key,base,offset,value,default_type,default,default_ispublic,defaults_blendalpha,tv_type,tv,tv_ispublic,tv_blendalpha,watch_type,watch,watch_ispublic,watch_blendalpha
THEME_CALENDAR_UNDERSCORE_XAXIS_OFFSET,THEME_CALENDAR_BASE,71,3571,ThemeConstantsType::DIMENSION,12.0_vp,TRUE,,,,,,,,,
THEME_CALENDAR_UNDERSCORE_YAXIS_OFFSET,THEME_CALENDAR_BASE,72,3572,ThemeConstantsType::DIMENSION,36.0_vp,TRUE,,,,,,,,,
THEME_CALENDAR_SCHEDULE_MARKER_XAXIS_OFFSET,THEME_CALENDAR_BASE,73,3573,ThemeConstantsType::DIMENSION,22.0_vp,TRUE,,,,,,,,,
THEME_CALENDAR_SCHEDULE_MARKER_YAXIS_OFFSET,THEME_CALENDAR_BASE,74,3574,ThemeConstantsType::DIMENSION,40.0_vp,TRUE,,,,,,,,,
THEME_CALENDAR_LUNAR_HEIGHT,THEME_CALENDAR_BASE,75,3575,ThemeConstantsType::DIMENSION,14.0_vp,TRUE,,,,,,,,,
THEME_CALENDAR_UNDERSCORE_WIDTH,THEME_CALENDAR_BASE,76,3576,ThemeConstantsType::DIMENSION,1.0_vp,TRUE,,,,,,,,,
THEME_CALENDAR_UNDERSCORE_LENGTH,THEME_CALENDAR_BASE,77,3577,ThemeConstantsType::DIMENSION,20.0_vp,TRUE,,,,,,,,,
THEME_CALENDAR_SCHEDULE_MARKER_RADIUS,THEME_CALENDAR_BASE,78,3578,ThemeConstantsType::DIMENSION,2.0_vp,TRUE,,,,,,,,,
THEME_CALENDAR_TOUCH_CIRCLE_STROKE_WIDTH,THEME_CALENDAR_BASE,79,3579,ThemeConstantsType::DIMENSION,1.0_vp,TRUE,,,,,,,,,
THEME_CARD_CALENDAR_BOUNDARY_COL_OFFSET,THEME_CALENDAR_BASE,80,3580,ThemeConstantsType::DIMENSION,50.0_vp,TRUE,,,,,,,,,
THEME_SEARCH_KEY_BASE,THEME_KEY_BASE,3600,3600,,,,,,,,,,,,
THEME_SEARCH_ICON_SIZE,THEME_SEARCH_KEY_BASE,,3600,ThemeConstantsType::DIMENSION,"Dimension(16.0, DimensionUnit::VP)",TRUE,,ThemeConstantsType::DIMENSION,"Dimension(0.0, DimensionUnit::VP)",TRUE,,ThemeConstantsType::DIMENSION,"Dimension(16.0, DimensionUnit::VP)",TRUE,
THEME_SEARCH_ICON_HOT_ZONE_SIZE,THEME_SEARCH_KEY_BASE,1,3601,ThemeConstantsType::DIMENSION,"Dimension(32.0, DimensionUnit::VP)",,,ThemeConstantsType::DIMENSION,"Dimension(0.0, DimensionUnit::VP)",,,ThemeConstantsType::DIMENSION,"Dimension(32.0, DimensionUnit::VP)",,
THEME_SEARCH_TEXT_FIELD_PADDING_LEFT,THEME_SEARCH_KEY_BASE,2,3602,ThemeConstantsType::DIMENSION,"Dimension(4.0, DimensionUnit::VP)",TRUE,,ThemeConstantsType::DIMENSION,"Dimension(24.0, DimensionUnit::VP)",TRUE,,ThemeConstantsType::DIMENSION,"Dimension(24.0, DimensionUnit::VP)",TRUE,
THEME_SEARCH_TEXT_FIELD_BORDER_RADIUS,THEME_SEARCH_KEY_BASE,3,3603,ThemeConstantsType::REFERENCE,THEME_OHOS_CORNER_RADIUS_INPUTBOX,TRUE,,ThemeConstantsType::REFERENCE,THEME_OHOS_CORNER_RADIUS_INPUTBOX,TRUE,,ThemeConstantsType::REFERENCE,THEME_OHOS_CORNER_RADIUS_INPUTBOX,TRUE,
THEME_SEARCH_TEXT_FIELD_WIDTH_RESERVED,THEME_SEARCH_KEY_BASE,4,3604,,,,,,,,,,,,
THEME_SEARCH_TEXT_COLOR,THEME_SEARCH_KEY_BASE,5,3605,ThemeConstantsType::REFERENCE,THEME_OHOS_COLOR_TEXT_PRIMARY,TRUE,,ThemeConstantsType::REFERENCE,THEME_OHOS_TEXT_HINT_INVERSE,TRUE,,ThemeConstantsType::REFERENCE,THEME_OHOS_TEXT_HINT_INVERSE,TRUE,
